Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Grabovsky	Angela		C	IN07	2022	2/15/2022	10044571
	Grasso	Gary		X	IL06	2022	3/28/2022	30015289
Hon.	Green	Mark Dr		P	TN07	2022	1/3/2022	20019881
Hon.	Green	Mark Dr		P	TN07	2022	1/18/2022	20020188
Hon.	Green	Mark Dr		P	TN07	2022	2/8/2022	20020362
Hon.	Green	Mark Dr		P	TN07	2022	2/14/2022	20020442
Hon.	Green	Mark Dr		P	TN07	2022	3/3/2022	20020501
Hon.	Green	Mark Dr		P	TN07	2022	3/8/2022	20020569
Hon.	Greene	Marjorie Taylor		P	GA14	2022	1/20/2022	20020263
Hon.	Greene	Marjorie Taylor		P	GA14	2022	3/7/2022	20020568
	Grossman	Kyle William		C	IA04	2022	2/7/2022	10044557
Hon.	Guest	Michael Patrick		P	MS03	2022	3/18/2022	20020644
	Haire	Marvin Jonathan		C	TX36	2022	2/2/2022	10044532
	Hall	Matt		C	IN05	2022	3/30/2022	10044708
Dr.	Harper	John Edward	Sr.	X	TX04	2022	1/26/2022	30015257
Mr.	Harris	James Frank	Sr.	C	TX30	2022	2/3/2022	10044537
Hon.	Harshbarger	Diana		P	TN01	2022	1/24/2022	8218540
Hon.	Harshbarger	Diana		P	TN01	2022	2/28/2022	8218580
Hon.	Harshbarger	Diana		P	TN01	2022	3/29/2022	8218621
Mr.	Heimlich	Phil		C	OH08	2022	4/2/2022	10044740
	Heng	Elizabeth		A	CA22	2022	2/7/2022	10044429
	Heng	Elizabeth		C	CA22	2022	1/21/2022	10044400
Hon.	Hern	Kevin		P	OK01	2022	1/11/2022	20020202
Hon.	Hern	Kevin		P	OK01	2022	2/2/2022	20020359
Hon.	Hern	Kevin		P	OK01	2022	3/7/2022	20020571
	Hernandez	Peter		C	CA18	2022	3/29/2022	10044724
Mrs.	Hill	Tartisha A.		C	TX05	2022	2/25/2022	10044488
Mrs.	Hill	Tartisha A.		D	TX05	2022	2/8/2022	40003309
	Houchin	Erin		C	IN09	2022	2/2/2022	10044524
	Hughes	David M.		C	AK00	2022	4/5/2022	10044763
	Ivanovskis	Jeremy Daniel		X	TX03	2022	1/26/2022	30015253
Hon.	Jacobs	Christopher L.		P	NY27	2022	2/18/2022	20020479
Hon.	Jacobs	Christopher L.		P	NY27	2022	3/18/2022	20020654
Hon.	Keating	William R.		P	MA09	2022	2/28/2022	20020504
Hon.	Kelly	Mike		P	PA16	2022	3/10/2022	8218604
Hon.	Khanna	Rohit		P	CA17	2022	1/7/2022	8218518
Hon.	Khanna	Rohit		P	CA17	2022	2/8/2022	8218560
Hon.	Khanna	Rohit		P	CA17	2022	3/8/2022	8218597
	Kiley	Susan M.		C	NJ06	2022	4/5/2022	10044698
	Kopsaftis	Peter		X	IL08	2022	1/21/2022	30015245
Mr.	Kress	Conrad		C	HI02	2022	3/10/2022	10044678
Hon.	Kustoff	David		P	TN08	2022	1/10/2022	8218527
Hon.	Kustoff	David		P	TN08	2022	2/9/2022	8218561
Hon.	Lamborn	Doug		P	CO05	2022	2/3/2022	8218548
Hon.	Lamborn	Doug		P	CO05	2022	3/9/2022	8218598
	Landsman	Greg		C	OH01	2022	4/5/2022	10044617
Hon.	Langevin	James R.		P	RI02	2022	1/5/2022	20020152
Hon.	Langevin	James R.		P	RI02	2022	2/8/2022	20020391
Hon.	Langevin	James R.		P	RI02	2022	3/4/2022	20020559
Mr.	Langford	David Keith	Jr.	D	CA06	2022	2/28/2022	40003317
Dr.	Lankford	Keisha		C	TX30	2022	1/28/2022	10044480
Hon.	Lee	Susie		P	NV03	2022	2/3/2022	20020369
Hon.	Lee	Susie		P	NV03	2022	3/4/2022	20020473
	Lewis	Nathan Allen		D	TX19	2022	1/18/2022	40003296
Hon.	Lofgren	Zoe		P	CA19	2022	1/7/2022	20020179
Hon.	Long	Billy		P	MO07	2022	3/8/2022	8218599
	Lopez	Francisco	Jr.	D	TX23	2022	2/4/2022	40003306
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/6/2022	20020167
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/21/2022	20020270
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/21/2022	20020271
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/21/2022	20020274
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/25/2022	20020307
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/27/2022	20020321
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/27/2022	20020322
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/27/2022	20020323
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/29/2022	20020331
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/30/2022	20020333
Hon.	Lowenthal	Alan S.		P	CA47	2022	1/30/2022	20020334
Hon.	Lowenthal	Alan S.		P	CA47	2022	2/10/2022	20020427
Hon.	Lowenthal	Alan S.		P	CA47	2022	2/18/2022	20020486
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/4/2022	20020562
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/4/2022	20020563
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/4/2022	20020564
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/4/2022	20020565
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/22/2022	20020676
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/22/2022	20020677
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/22/2022	20020678
Hon.	Lowenthal	Alan S.		P	CA47	2022	3/26/2022	20020690
	Lucas	Martin		D	IN01	2022	3/30/2022	40003325
	Magsig	Nathan		C	CA05	2022	3/23/2022	8218616
	Maher	Michael A.		C	CA22	2022	3/5/2022	10044667
Hon.	Maloney	Carolyn B.		P	NY12	2022	2/18/2022	20020477
Hon.	Maloney	Carolyn B.		P	NY12	2022	3/17/2022	20020641
Hon.	Manning	Kathy		P	NC06	2022	2/11/2022	20020423
Hon.	Manning	Kathy		P	NC06	2022	3/4/2022	20020481
Hon.	Manning	Kathy		P	NC06	2022	4/7/2022	20020742
	Marks	Martin J.		C	FL21	2022	2/17/2022	8218572
	Martin	Jack		C	FL11	2022	4/7/2022	10044765
	Matland	John		D	NY11	2022	2/15/2022	40003310
Hon.	McCaul	Michael T.		P	TX10	2022	1/27/2022	8218545
Hon.	McCaul	Michael T.		P	TX10	2022	2/23/2022	8218579
Hon.	McCaul	Michael T.		P	TX10	2022	3/17/2022	8218615
Hon.	McKinley	David B.		P	WV01	2022	1/14/2022	20020158
	Melgoza	Victor		C	TX27	2022	1/30/2022	10044493
Hon.	Meuser	Daniel		P	PA09	2022	2/16/2022	20020458
Hon.	Miller	Carol Devine		P	WV03	2022	1/14/2022	20020233
	Milo	Blair		C	IN01	2022	4/1/2022	10044743
	Mitchell	Nicholas		C	UT02	2022	3/19/2022	10044712
	Monteforte	Michael A.	Jr.	A	VA07	2022	1/12/2022	10044377
	Monteforte	Michael A.	Jr.	C	VA07	2022	1/12/2022	10044375
	Montoya	Samuel Christopher		D	TX35	2022	2/16/2022	40003311
Hon.	Moore	Blake		P	UT01	2022	1/8/2022	20020135
Hon.	Moore	Blake		P	UT01	2022	2/3/2022	20020344
Mr.	Moy	Daniel Robert		X	VA05	2022	3/28/2022	30015298
	Mua	Toni		C	MI13	2022	3/4/2022	10044663
	Mua	Toni		X	MI13	2022	3/8/2022	30015274
	Neighbors	Ricky Allen		C	AL04	2022	3/15/2022	10044615
Hon.	Newman	Marie		P	IL03	2022	1/8/2022	20020145
Hon.	Newman	Marie		P	IL03	2022	2/8/2022	20020370
Hon.	Newman	Marie		P	IL03	2022	3/5/2022	20020560
Hon.	Nunes	Devin		T	CA22	2022	1/30/2022	10044405
	Parrish	Bernard Kyle		D	NC07	2022	2/7/2022	40003308
Hon.	Pascrell	Bill	Jr.	P	NJ09	2022	1/18/2022	20020216
Hon.	Pelosi	Nancy		P	CA12	2022	1/12/2022	20020208
Hon.	Pelosi	Nancy		P	CA12	2022	2/28/2022	20020515
Hon.	Pelosi	Nancy		P	CA12	2022	3/4/2022	20020561
Hon.	Pelosi	Nancy		P	CA12	2022	3/21/2022	20020662
Hon.	Perlmutter	Ed		P	CO07	2022	1/25/2022	20020300
Hon.	Peters	Scott H.		P	CA52	2022	2/15/2022	20020436
Hon.	Phillips	Dean		B	MN03	2022	2/3/2022	8218555
Hon.	Phillips	Dean		B	MN03	2022	4/4/2022	8218627
	Polhemus	Jonathan		D	OR03	2022	3/10/2022	8218606
Hon.	Price	David E.		P	NC04	2022	1/10/2022	20020196
Hon.	Price	David E.		P	NC04	2022	3/2/2022	20020538
Hon.	Price	David E.		P	NC04	2022	4/5/2022	20020733
Hon.	Price	David E.		P	NC04	2022	4/6/2022	20020740
	Puccetti	Gregory Peter		C	KY03	2022	4/2/2022	10044747
	Qiu	Helen Jiang		W	NY10	2022	3/10/2022	7833
	Ramos	Jonathon Angel		C	CA01	2022	2/28/2022	10044635
	Raths	Greg		C	CA40	2022	1/6/2022	10044339
	Rehman	Laique		C	TX07	2022	2/2/2022	10044526
	Riedel	Craig		C	OH09	2022	4/1/2022	10044581
	Riesen	Cory		W	IN03	2022	3/7/2022	7831
	Robinson	Gary Thomas		C	NC10	2022	3/27/2022	10044730
Hon.	Rogers	Harold Dallas		P	KY05	2022	1/21/2022	8218543
Hon.	Rogers	Harold Dallas		P	KY05	2022	2/15/2022	8218569
Hon.	Rogers	Harold Dallas		P	KY05	2022	3/25/2022	8218620
Hon.	Ross	Deborah K.		P	NC02	2022	1/8/2022	20020182
Hon.	Ross	Deborah K.		P	NC02	2022	2/19/2022	20020492
	Rottinghaus	Patrick Joseph		W	KY04	2022	3/8/2022	7832
Hon.	Rouzer	David Cheston		P	NC07	2022	1/17/2022	20020237
Mr.	Ruiz	David B.		C	IN01	2022	1/30/2022	10044495
	Rusk	Ted		D	IN07	2022	3/2/2022	8218603
Hon.	Rutherford	John		P	FL04	2022	3/16/2022	20020629
	Sakin	I. Michael		C	NY01	2022	3/16/2022	10044704
Mr.	Sakin	I. Michael		A	NY01	2022	3/20/2022	10044713
	Sanford	Paul		C	AL05	2022	3/4/2022	8218526
	Saylor	Ryan		C	OH07	2022	3/30/2022	10044640
	Scauflaire	Takona Eileen		D	TX06	2022	2/18/2022	40003313
Hon.	Schneider	Bradley S.		P	IL10	2022	3/17/2022	20020104
Hon.	Schrader	Kurt		P	OR05	2022	2/7/2022	8218557
Hon.	Schrader	Kurt		P	OR05	2022	2/7/2022	8218558
Hon.	Schrader	Kurt		P	OR05	2022	2/11/2022	8218564
Hon.	Schrader	Kurt		P	OR05	2022	3/2/2022	8218587
Hon.	Schrader	Kurt		P	OR05	2022	4/1/2022	8218628
Hon.	Schrader	Kurt		P	OR05	2022	4/5/2022	8218631
Hon.	Scott	Robert C. "Bobby"		P	VA03	2022	1/10/2022	20020194
Hon.	Sessions	Pete		P	TX32	2022	2/11/2022	20020443
Hon.	Sessions	Pete		P	TX32	2022	2/18/2022	20020487
Hon.	Sessions	Pete		P	TX32	2022	2/22/2022	20020507
Hon.	Sessions	Pete		P	TX32	2022	3/13/2022	20020617
	Shackelford	Jody		C	AR01	2022	3/10/2022	10044601
