member_name,state_district_number,company,ticker,transaction_type,transaction_date,value_lb,value_ub,description,link
Nancy Pelosi,CA12,"Tesla, Inc",TSLA,P,2022-03-17,1000001,5000000,"Exercised 25 call options(2,500 shares) expiring 3/18/22 at a strike price of $500.",https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020662.pdf
Robert E. Andrews,NJ01,"Hill International, Inc",HIL,S,2013-12-26,15001,50000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000077.pdf
Lou Barletta,PA11,Gigamon Inc,GIMO,S,2014-05-22,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000998.pdf
John A. Boehner,OH08,"Diamond Offshore Drilling, Inc",DO,S,2014-02-06,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000284.pdf
Mo Brooks,AL05,Morgan Stanley Cap Tr V Gtd Secs,MWO,S,2014-05-05,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000606.pdf
Michael C. Burgess,TX26,General Electric Company,GE,S,2014-03-10,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000708.pdf
Eric Cantor,VA07,Mesabi Trust,MSB,P,2014-01-16,15001,50000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000165.pdf
Earl Blumenauer,OR03,Northwest Natural Gas Company,NWN,P,2015-02-25,15001,50000,Part of compensation and long term incentive plan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002777.pdf
Cheri Bustos,IL17,Norfolk Southern Corporation,NSC,S,2015-08-20,15001,50000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003873.pdf
William M. Cassidy,LA06,Chevron Corporation,CVX,P,2014-12-16,15001,50000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003626.pdf
William M. Cassidy,LA06,Ford Motor Company,F,S,2014-09-11,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003626.pdf
William M. Cassidy,LA06,Intel Corporation,INTC,S,2014-09-11,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003626.pdf
Kathy Castor,FL14,"Caterpillar, Inc",CAT,P,2014-12-24,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002315.pdf
Steve Chabot,OH01,Actavis plc Ordinary Shares,ACT,P,2015-05-26,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003295.pdf
Steve Chabot,OH01,"Facebook, Inc. - Class A",FB,P,2015-05-26,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003295.pdf
Katherine M Clark,MA05,Packaging Corporation of America,PKG,P,2014-12-18,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002346.pdf
Katherine M Clark,MA05,Spectra Energy Corp,SE,S,2014-12-17,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002346.pdf
Barbara J. Comstock,VA10,"Ambarella, Inc. - Ordinary Shares",AMBA,S,2015-06-19,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003280.pdf
Michael Conaway,TX11,Actavis plc Ordinary Shares,ACT,P,2014-12-11,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002307.pdf
Gerald E. Connolly,VA11,"Dominion Resources, Inc",D,P,2015-03-25,1001,15000,Divident Reinvestment,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002942.pdf
Carlos Curbelo,FL26,"Cisco Systems, Inc",CSCO,P,2015-08-24,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003554.pdf
Suzan K. DelBene,WA01,Microsoft Corporation,MSFT,P,2017-08-29,250001,500000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007986.pdf
Jim Costa,CA16,"Heartland Financial USA, Inc",HTLF,E,2015-12-04,1001,15000,Heartland Financial USA (HTLF) exchanged from Premier Valley Bank (PVLY),https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005131.pdf
Susan A. Davis,CA53,QUALCOMM Incorporated,QCOM,P,2016-01-25,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004603.pdf
Debbie Dingell,MI12,International Paper Company,IP,P,2016-02-02,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004614.pdf
Lloyd Doggett,TX35,"Home Depot, Inc.",HD,P,2015-12-17,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004334.pdf
Tammy Duckworth,IL08,EMC Corporation,EMC,S,2016-09-07,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006086.pdf
Bill Flores,TX17,Apple Inc.,AAPL,S,2015-12-30,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004413.pdf
Virginia Foxx,NC05,Schwab International Equity ETF,SCHF,P,2015-12-29,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004323.pdf
Bob Gibbs,OH07,Apple Inc.,AAPL,P,2016-01-27,1001,15000,None,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004472.pdf
